#ofAccesses  PageFrameNumber  Hotness
2158908      00608            40.0776
1511577      00609            28.0607
962037       fff000           17.8591
514389       04225            9.54904
150460       00405            2.79312
36121        04226            0.670545
13926        ffefff           0.25852
7024         04024            0.130392
2366         04fe7            0.0439221
2136         04c3d            0.0396524
1732         04224            0.0321526
1104         04c28            0.0204945
1097         04c29            0.0203645
1097         04043            0.0203645
1038         04c2a            0.0192693
906          00400            0.0168188
847          04000            0.0157236
777          04fe5            0.0144241
722          04222            0.0134031
686          04c32            0.0127348
637          04c31            0.0118252
634          04c36            0.0117695
627          04c2c            0.0116395
622          04c33            0.0115467
621          04c2d            0.0115281
616          04c35            0.0114353
616          04c2f            0.0114353
607          04c30            0.0112683
602          04223            0.0111754
591          04c2e            0.0109712
588          04c2b            0.0109155
583          04c34            0.0108227
561          04c37            0.0104143
560          04c3e            0.0103958
512          04c44            0.00950469
512          04c43            0.00950469
512          04c42            0.00950469
512          04c41            0.00950469
512          04c40            0.00950469
512          04c3f            0.00950469
511          04c45            0.00948612
454          04c27            0.00842799
390          04fe6            0.0072399
364          00404            0.00675724
349          04fe4            0.00647878
312          04a25            0.00579192
302          04c3b            0.00560628
298          04c3a            0.00553203
294          00607            0.00545777
291          0401c            0.00540208
269          04fe3            0.00499367
265          04044            0.00491942
258          04c38            0.00478947
247          04c25            0.00458527
235          04c3c            0.0043625
231          04fe2            0.00428825
211          04c39            0.00391697
137          0401b            0.00254325
124          04c46            0.00230192
123          04025            0.00228335
101          04fe8            0.00187495
92           04023            0.00170787
71           04d9e            0.00131803
65           04feb            0.00120665
54           04da0            0.00100245
53           04fec            0.000983884
53           04d9b            0.000983884
37           0403f            0.000686862
36           0401f            0.000668298
19           04c26            0.000352713
17           04dad            0.000315585
12           04da4            0.000222766
9            04fe9            0.000167075
9            0402f            0.000167075
8            04028            0.000148511
6            04da6            0.000111383
5            0403e            9.28192e-05
4            04d8f            7.42554e-05
4            04040            7.42554e-05
4            04039            7.42554e-05
2            04fed            3.71277e-05
1            0402e            1.85638e-05
1            0402c            1.85638e-05
