#ofAccesses  PageFrameNumber  Hotness
12897345     ffefff           41.3091
2533262      0061a            8.11382
2513548      0061c            8.05068
2508309      00619            8.0339
2440387      0061b            7.81635
2311136      00618            7.40237
1267790      00617            4.06062
1181460      0061d            3.78411
979388       04225            3.13689
485353       00615            1.55454
204800       00614            0.655957
204800       00612            0.655957
204800       00610            0.655957
203000       00613            0.650191
201600       00611            0.645707
191200       00616            0.612397
162008       0060f            0.518898
112221       fff000           0.359434
77312        0422c            0.247624
77312        0422b            0.247624
77312        0422a            0.247624
77312        04229            0.247624
77312        04228            0.247624
77312        04227            0.247624
77312        04226            0.247624
19933        0422d            0.0638437
7015         04043            0.0224684
4107         04cc9            0.0131544
2896         04024            0.00927564
2368         052ed            0.0075845
2237         04f43            0.00716492
2018         04224            0.00646348
1728         04cd5            0.00553463
1577         0040c            0.00505099
1186         00400            0.00379865
1109         04f2e            0.00355203
1101         04f2f            0.00352641
1042         04f30            0.00333744
1041         04c9b            0.00333423
940          04222            0.00301074
859          04000            0.0027513
798          052eb            0.00255592
686          04f38            0.0021972
685          04223            0.002194
639          ffeffe           0.00204666
639          04f44            0.00204666
637          04f37            0.00204026
635          04f32            0.00203385
634          04f3c            0.00203065
630          04f3b            0.00201784
628          04f2c            0.00201143
623          04f35            0.00199541
623          04044            0.00199541
622          04f39            0.00199221
621          04f33            0.00198901
607          04f36            0.00194417
591          04f34            0.00189292
588          04f31            0.00188331
583          04f3a            0.0018673
561          04f3d            0.00179683
512          04f4a            0.00163989
512          04f49            0.00163989
512          04f48            0.00163989
512          04f47            0.00163989
512          04f46            0.00163989
512          04f45            0.00163989
512          0040b            0.00163989
512          0040a            0.00163989
512          00409            0.00163989
512          00408            0.00163989
512          00407            0.00163989
512          00406            0.00163989
512          00405            0.00163989
511          04f4b            0.00163669
463          04f2d            0.00148295
392          052ec            0.00125554
378          04c2b            0.0012107
349          052ea            0.00111782
329          04f2b            0.00105376
328          04f40            0.00105056
325          0060e            0.00104095
323          04a25            0.00103454
302          04f41            0.00096728
300          04ca2            0.000960874
291          0401c            0.000932048
280          00404            0.000896816
269          052e9            0.000861584
269          04c25            0.000861584
260          04f42            0.000832757
258          04f3e            0.000826352
232          04cb0            0.000743076
231          052e8            0.000739873
212          04c2a            0.000679018
211          04f3f            0.000675815
148          04cd4            0.000474031
146          0401b            0.000467625
137          04c2c            0.000438799
124          04f4c            0.000397161
122          04025            0.000390755
116          04c27            0.000371538
105          052ee            0.000336306
94           052f1            0.000301074
92           04023            0.000294668
70           050a4            0.000224204
66           04038            0.000211392
55           0401f            0.00017616
54           050a6            0.000172957
53           052f2            0.000169754
37           0403f            0.000118508
35           04c28            0.000112102
33           050a1            0.000105696
21           050b3            6.72612e-05
19           04c26            6.08553e-05
14           0402c            4.48408e-05
12           050aa            3.8435e-05
12           04039            3.8435e-05
9            052ef            2.88262e-05
9            04c29            2.88262e-05
9            0402f            2.88262e-05
9            04028            2.88262e-05
6            050ac            1.92175e-05
5            0403e            1.60146e-05
4            05095            1.28117e-05
4            04040            1.28117e-05
4            04037            1.28117e-05
4            04035            1.28117e-05
2            052f3            6.40583e-06
1            0402e            3.20291e-06
1            0402b            3.20291e-06
1            0402a            3.20291e-06
