#ofAccesses  PageFrameNumber  Hotness
4083583      04227            55.1077
2730441      00608            36.8471
361887       00609            4.88364
91788        04225            1.23867
72411        fff000           0.977182
15872        04226            0.214192
13744        ffefff           0.185474
7024         04024            0.0947884
2366         04fe7            0.031929
2136         04c3d            0.0288252
1732         04224            0.0233732
1105         04043            0.0149119
1104         04c28            0.0148984
1097         04c29            0.0148039
1038         04c2a            0.0140077
906          00400            0.0122264
847          04000            0.0114302
789          04fe5            0.0106475
722          04222            0.00974334
686          04c32            0.00925753
637          04c31            0.00859627
634          04c36            0.00855579
627          04c2c            0.00846132
622          04c33            0.00839385
621          04c2d            0.00838036
616          04c35            0.00831288
616          04c2f            0.00831288
607          04c30            0.00819143
602          04223            0.00812395
591          04c2e            0.00797551
588          04c2b            0.00793502
583          04c34            0.00786755
561          04c37            0.00757066
560          04c3e            0.00755716
512          04c44            0.00690941
512          04c43            0.00690941
512          04c42            0.00690941
512          04c41            0.00690941
512          04c40            0.00690941
512          04c3f            0.00690941
512          00405            0.00690941
511          04c45            0.00689591
456          00404            0.00615369
454          04c27            0.0061267
444          04fe6            0.00599175
356          00406            0.0048042
349          04fe4            0.00470973
312          04a25            0.00421042
302          04c3b            0.00407547
298          04c3a            0.00402149
294          00607            0.00396751
291          0401c            0.00392703
269          04fe3            0.00363014
265          04044            0.00357616
258          04c38            0.00348169
247          04c25            0.00333325
235          04c3c            0.00317131
231          04fe2            0.00311733
211          04c39            0.00284743
137          0401b            0.00184881
124          04c46            0.00167337
123          04025            0.00165988
113          04fe8            0.00152493
92           04023            0.00124153
71           04d9e            0.00095814
65           04fec            0.000877171
65           04feb            0.000877171
58           04d9b            0.000782706
54           04da0            0.000728727
37           0403f            0.000499313
36           0401f            0.000485818
19           04c26            0.000256404
18           04dad            0.000242909
12           04da4            0.000161939
9            04fe9            0.000121454
9            0402f            0.000121454
8            04028            0.000107959
6            04da6            8.09696e-05
5            0403e            6.74747e-05
4            04d8f            5.39797e-05
4            04040            5.39797e-05
4            04039            5.39797e-05
2            04fed            2.69899e-05
1            0402e            1.34949e-05
1            0402c            1.34949e-05
