#ofAccesses  PageFrameNumber  Hotness
12897348     ffefff           43.448
2253312      0061c            7.59085
2253312      00618            7.59085
2238862      0061a            7.54217
2236911      0061b            7.5356
2236309      00619            7.53357
1267502      00617            4.2699
1039866      0061d            3.50305
672188       04225            2.26444
485353       00615            1.63503
204800       00614            0.689921
204800       00612            0.689921
204800       00610            0.689921
203000       00613            0.683857
201600       00611            0.679141
191200       00616            0.644106
161710       0060f            0.544761
112221       fff000           0.378045
77312        0422c            0.260445
77312        0422b            0.260445
77312        0422a            0.260445
77312        04229            0.260445
77312        04228            0.260445
77312        04227            0.260445
77312        04226            0.260445
19933        0422d            0.0671494
7015         04043            0.0236318
4107         04cc9            0.0138355
2896         04024            0.00975591
2368         052ed            0.00797721
2237         04f43            0.0075359
2018         04224            0.00679814
1728         04cd5            0.00582121
1345         00404            0.00453097
1186         00400            0.00399534
1109         04f2e            0.00373595
1101         04f2f            0.003709
1042         04f30            0.00351024
1041         04c9b            0.00350687
940          04222            0.00316663
859          04000            0.00289376
816          00607            0.0027489
798          052eb            0.00268827
686          04f38            0.00231096
685          04223            0.0023076
641          ffeffe           0.00215937
639          04f44            0.00215263
637          04f37            0.0021459
635          04f32            0.00213916
634          04f3c            0.00213579
630          04f3b            0.00212231
628          04f2c            0.00211558
623          04f35            0.00209873
623          04044            0.00209873
622          04f39            0.00209536
621          04f33            0.002092
607          04f36            0.00204483
591          04f34            0.00199093
588          04f31            0.00198083
583          04f3a            0.00196398
561          04f3d            0.00188987
512          04f4a            0.0017248
512          04f49            0.0017248
512          04f48            0.0017248
512          04f47            0.0017248
512          04f46            0.0017248
512          04f45            0.0017248
512          0060e            0.0017248
512          0060d            0.0017248
512          0060c            0.0017248
512          0060b            0.0017248
512          0060a            0.0017248
512          00609            0.0017248
512          00608            0.0017248
511          04f4b            0.00172143
463          04f2d            0.00155973
392          052ec            0.00132055
378          04c2b            0.00127339
349          052ea            0.00117569
329          04f2b            0.00110832
328          04f40            0.00110495
325          00606            0.00109484
323          04a25            0.00108811
302          04f41            0.00101736
300          04ca2            0.00101063
291          0401c            0.000980307
269          052e9            0.000906195
269          04c25            0.000906195
260          04f42            0.000875876
258          04f3e            0.000869138
232          04cb0            0.000781551
231          052e8            0.000778182
212          04c2a            0.000714176
211          04f3f            0.000710807
148          04cd4            0.000498575
146          0401b            0.000491838
137          04c2c            0.000461519
124          04f4c            0.000417725
122          04025            0.000410988
116          04c27            0.000390775
105          052ee            0.000353719
94           052f1            0.000316663
92           04023            0.000309925
70           050a4            0.000235813
66           04038            0.000222338
55           0401f            0.000185281
54           050a6            0.000181913
53           052f2            0.000178544
37           0403f            0.000124644
35           04c28            0.000117906
33           050a1            0.000111169
21           050b3            7.07438e-05
19           04c26            6.40063e-05
14           0402c            4.71625e-05
12           050aa            4.0425e-05
12           04039            4.0425e-05
9            052ef            3.03188e-05
9            04c29            3.03188e-05
9            0402f            3.03188e-05
9            04028            3.03188e-05
6            050ac            2.02125e-05
5            0403e            1.68438e-05
4            05095            1.3475e-05
4            04040            1.3475e-05
4            04037            1.3475e-05
4            04035            1.3475e-05
2            052f3            6.73751e-06
1            0402e            3.36875e-06
1            0402b            3.36875e-06
1            0402a            3.36875e-06
