#ofAccesses  PageFrameNumber  Hotness
1080369      0060a            49.1591
637189       00407            28.9934
271414       0060b            12.3499
72285        fff000           3.28912
54040        04225            2.45893
13662        ffefff           0.62165
8192         04227            0.372753
8192         04226            0.372753
8068         04228            0.367111
7024         04024            0.319607
3541         04229            0.161123
2366         04fe7            0.107658
2136         04c3d            0.0971925
1732         04224            0.0788096
1104         04c28            0.0502343
1099         04043            0.0500068
1097         04c29            0.0499158
1038         04c2a            0.0472312
906          00400            0.0412249
847          04000            0.0385403
777          04fe5            0.0353551
722          04222            0.0328525
686          04c32            0.0312144
637          04c31            0.0289848
634          04c36            0.0288483
627          04c2c            0.0285298
622          04c33            0.0283023
621          04c2d            0.0282568
616          04c35            0.0280293
616          04c2f            0.0280293
607          04c30            0.0276198
602          04223            0.0273923
591          04c2e            0.0268917
588          04c2b            0.0267552
583          04c34            0.0265277
561          04c37            0.0255267
560          04c3e            0.0254812
512          04c44            0.0232971
512          04c43            0.0232971
512          04c42            0.0232971
512          04c41            0.0232971
512          04c40            0.0232971
512          04c3f            0.0232971
512          00406            0.0232971
512          00405            0.0232971
512          00404            0.0232971
511          04c45            0.0232516
454          04c27            0.020658
390          04fe6            0.0177458
349          04fe4            0.0158802
312          04a25            0.0141967
302          04c3b            0.0137416
298          04c3a            0.0135596
294          00609            0.0133776
291          0401c            0.0132411
269          04fe3            0.0122401
265          04044            0.0120581
258          04c38            0.0117395
247          04c25            0.011239
235          04c3c            0.010693
231          04fe2            0.010511
211          04c39            0.00960094
137          0401b            0.00623379
124          04c46            0.00564226
119          04025            0.00541475
101          04fe8            0.00459571
92           04023            0.00418619
92           00403            0.00418619
84           00408            0.00382218
71           04d9e            0.00323065
65           04feb            0.00295764
58           04d9b            0.00263912
54           04da0            0.00245711
53           04fec            0.00241161
37           0403f            0.00168358
36           0401f            0.00163808
19           04c26            0.00086454
18           04dad            0.000819038
12           04da4            0.000546025
9            04fe9            0.000409519
9            0402f            0.000409519
8            04028            0.000364017
6            04da6            0.000273013
5            0403e            0.00022751
4            04d8f            0.000182008
4            04040            0.000182008
4            04039            0.000182008
2            04fed            9.10042e-05
1            0402e            4.55021e-05
1            0402c            4.55021e-05
