#ofAccesses  PageFrameNumber  Hotness
6070029      00607            81.3247
924269       04225            12.3831
298220       00609            3.99547
87322        00608            1.16992
30606        fff000           0.410051
13737        ffefff           0.184045
7024         04024            0.0941057
2366         04fe7            0.0316991
2136         04c3d            0.0286176
1732         04224            0.0232049
1104         04c28            0.0147911
1100         04043            0.0147375
1097         04c29            0.0146973
1038         04c2a            0.0139069
906          00400            0.0121384
847          04000            0.0113479
780          04fe5            0.0104502
722          04222            0.00967317
686          04c32            0.00919085
637          04c31            0.00853436
634          04c36            0.00849417
627          04c2c            0.00840038
622          04c33            0.00833339
621          04c2d            0.00832
616          04c35            0.00825301
616          04c2f            0.00825301
607          04c30            0.00813243
602          04223            0.00806544
591          04c2e            0.00791806
588          04c2b            0.00787787
583          04c34            0.00781088
561          04c37            0.00751613
560          04c3e            0.00750273
512          04c44            0.00685964
512          04c43            0.00685964
512          04c42            0.00685964
512          04c41            0.00685964
512          04c40            0.00685964
512          04c3f            0.00685964
511          04c45            0.00684625
454          04c27            0.00608257
399          04fe6            0.0053457
384          00404            0.00514473
349          04fe4            0.00467581
324          00405            0.00434087
312          04a25            0.0041801
302          04c3b            0.00404612
298          04c3a            0.00399253
294          00606            0.00393894
291          0401c            0.00389874
269          04fe3            0.00360399
265          04044            0.0035504
258          04c38            0.00345662
247          04c25            0.00330924
235          04c3c            0.00314847
231          04fe2            0.00309488
211          04c39            0.00282692
137          0401b            0.00183549
124          04c46            0.00166132
122          04025            0.00163452
103          04fe8            0.00137997
92           04023            0.00123259
71           04d9e            0.00095124
65           04feb            0.000870853
55           04fec            0.000736876
54           04da0            0.000723478
54           04d9b            0.000723478
37           0403f            0.000495716
36           0401f            0.000482319
19           04dad            0.000254557
19           04c26            0.000254557
12           04da4            0.000160773
9            04fe9            0.00012058
9            0402f            0.00012058
8            04028            0.000107182
6            04da6            8.03864e-05
5            0403e            6.69887e-05
4            04d8f            5.3591e-05
4            04040            5.3591e-05
4            04039            5.3591e-05
2            04fed            2.67955e-05
1            0402e            1.33977e-05
1            0402c            1.33977e-05
