#ofAccesses  PageFrameNumber  Hotness
2812984      00608            47.7063
1068562      04225            18.1221
700459       04245            11.8793
700402       00607            11.8783
413025       fff000           7.00462
23242        04239            0.394169
18697        04241            0.317088
18697        0423d            0.317088
18697        04235            0.317088
18697        04231            0.317088
18697        0422d            0.317088
18697        04229            0.317088
13697        ffefff           0.232292
7024         04024            0.119122
2366         04fe7            0.0401257
2136         04c3d            0.0362251
1732         04224            0.0293735
1107         04043            0.018774
1104         04c28            0.0187231
1097         04c29            0.0186044
1038         04c2a            0.0176038
906          00400            0.0153651
847          04000            0.0143645
794          04fe5            0.0134657
722          04222            0.0122446
686          04c32            0.0116341
637          04c31            0.0108031
634          04c36            0.0107522
627          04c2c            0.0106335
622          04c33            0.0105487
621          04c2d            0.0105317
616          04c35            0.0104469
616          04c2f            0.0104469
607          04c30            0.0102943
602          04223            0.0102095
591          04c2e            0.010023
588          04c2b            0.00997208
583          04c34            0.00988728
561          04c37            0.00951418
560          04c3e            0.00949722
512          04c44            0.00868317
512          04c43            0.00868317
512          04c42            0.00868317
512          04c41            0.00868317
512          04c40            0.00868317
512          04c3f            0.00868317
512          04244            0.00868317
512          04243            0.00868317
512          04242            0.00868317
512          04240            0.00868317
512          0423f            0.00868317
512          0423e            0.00868317
512          0423c            0.00868317
512          0423b            0.00868317
512          0423a            0.00868317
512          04238            0.00868317
512          04237            0.00868317
512          04236            0.00868317
512          04234            0.00868317
512          04233            0.00868317
512          04232            0.00868317
512          04230            0.00868317
512          0422f            0.00868317
512          0422e            0.00868317
512          0422c            0.00868317
512          0422b            0.00868317
512          0422a            0.00868317
512          04228            0.00868317
512          04227            0.00868317
512          04226            0.00868317
511          04c45            0.00866621
477          00404            0.0080896
454          04c27            0.00769953
447          04fe6            0.00758082
349          04fe4            0.0059188
312          04a25            0.00529131
302          04c3b            0.00512171
298          04c3a            0.00505388
294          00606            0.00498604
291          0401c            0.00493516
269          04fe3            0.00456206
265          04044            0.00449422
258          04c38            0.0043755
247          04c25            0.00418895
235          04c3c            0.00398544
231          04fe2            0.0039176
211          04c39            0.00357842
137          0401b            0.00232343
124          04c46            0.00210296
117          04fe8            0.00198424
117          04025            0.00198424
92           04023            0.00156026
70           04d9e            0.00118715
69           04fec            0.00117019
65           04feb            0.00110236
54           04da0            0.000915803
53           04d9b            0.000898844
37           0403f            0.000627495
36           0401f            0.000610536
19           04dad            0.000322227
19           04c26            0.000322227
12           04da4            0.000203512
9            04fe9            0.000152634
9            0402f            0.000152634
8            04028            0.000135675
6            04da6            0.000101756
5            0403e            8.47966e-05
4            04d8f            6.78373e-05
4            04040            6.78373e-05
4            04039            6.78373e-05
2            04fed            3.39186e-05
1            0402e            1.69593e-05
1            0402c            1.69593e-05
1            00405            1.69593e-05
