#ofAccesses  PageFrameNumber  Hotness
6780739      fff000           54.857
3867565      0060a            31.2891
606472       04225            4.90643
600354       00407            4.85694
206848       04226            1.67342
206350       04227            1.6694
36271        04228            0.293437
15273        ffefff           0.12356
7024         04024            0.056825
2366         04fe7            0.0191412
2136         04c3d            0.0172805
1732         04224            0.0140121
1104         04c28            0.00893149
1097         04c29            0.00887486
1097         04043            0.00887486
1038         04c2a            0.00839754
906          00400            0.00732965
847          04000            0.00685233
777          04fe5            0.00628602
722          04222            0.00584107
686          04c32            0.00554982
637          04c31            0.00515341
634          04c36            0.00512914
627          04c2c            0.0050725
622          04c33            0.00503205
621          04c2d            0.00502396
616          04c35            0.00498351
616          04c2f            0.00498351
607          04c30            0.0049107
602          04223            0.00487025
591          04c2e            0.00478126
588          04c2b            0.00475699
583          04c34            0.00471654
561          04c37            0.00453856
560          04c3e            0.00453047
512          04c44            0.00414214
512          04c43            0.00414214
512          04c42            0.00414214
512          04c41            0.00414214
512          04c40            0.00414214
512          04c3f            0.00414214
512          00406            0.00414214
512          00405            0.00414214
511          04c45            0.00413405
454          04c27            0.00367291
440          00404            0.00355965
390          04fe6            0.00315515
386          00609            0.00312279
349          04fe4            0.00282345
312          04a25            0.00252412
302          04c3b            0.00244322
298          04c3a            0.00241086
294          00608            0.00237849
291          0401c            0.00235422
269          04fe3            0.00217624
265          04044            0.00214388
258          04c38            0.00208725
247          04c25            0.00199826
235          04c3c            0.00190118
231          04fe2            0.00186882
211          04c39            0.00170702
137          0401b            0.00110835
124          04c46            0.00100317
121          04025            0.000978904
101          04fe8            0.000817102
92           04023            0.000744291
72           04d9e            0.000582489
65           04feb            0.000525858
57           04d9b            0.000461137
54           04da0            0.000436866
53           04fec            0.000428776
37           0403f            0.000299334
36           0401f            0.000291244
19           04c26            0.000153712
17           04dad            0.000137532
12           04da4            9.70814e-05
9            04fe9            7.28111e-05
9            0402f            7.28111e-05
8            04028            6.47209e-05
6            04da6            4.85407e-05
5            0403e            4.04506e-05
4            04d8f            3.23605e-05
4            04040            3.23605e-05
4            04039            3.23605e-05
2            04fed            1.61802e-05
1            0402e            8.09012e-06
1            0402c            8.09012e-06
