#ofAccesses  PageFrameNumber  Hotness
13295        ffefff           19.843
12748        fff000           19.0266
7024         04024            10.4834
2364         04fe7            3.52831
2136         04c3d            3.18801
1732         04224            2.58504
1239         00607            1.84923
1104         04c28            1.64774
1097         04c29            1.63729
1096         04043            1.6358
1038         04c2a            1.54923
906          00400            1.35222
847          04000            1.26416
769          04fe5            1.14774
721          04222            1.0761
686          04c32            1.02387
637          04c31            0.950732
634          04c36            0.946255
627          04c2c            0.935807
622          04c33            0.928344
621          04c2d            0.926852
616          04c35            0.919389
616          04c2f            0.919389
607          04c30            0.905957
602          04223            0.898494
591          04c2e            0.882076
588          04c2b            0.877599
583          04c34            0.870136
561          04c37            0.837301
560          04c3e            0.835808
512          04c44            0.764168
512          04c43            0.764168
512          04c42            0.764168
512          04c41            0.764168
512          04c40            0.764168
512          04c3f            0.764168
511          04c45            0.762675
454          04c27            0.677602
406          00606            0.605961
358          04fe6            0.53432
349          04fe4            0.520888
335          00403            0.499993
312          04a25            0.465665
302          04c3b            0.45074
298          04c3a            0.444769
294          00605            0.438799
291          0401c            0.434322
269          04fe3            0.401487
265          04044            0.395516
258          04c38            0.385069
247          04c25            0.368651
235          04c3c            0.350741
231          04fe2            0.344771
211          04c39            0.314921
137          0401b            0.204475
125          04025            0.186564
124          04c46            0.185072
95           04fe8            0.141789
92           04023            0.137311
65           04feb            0.0970135
62           04d9e            0.0925359
60           04d9b            0.0895509
54           04da0            0.0805958
49           04fec            0.0731332
37           0403f            0.0552231
36           0401f            0.0537305
21           04dad            0.0313428
19           04c26            0.0283578
12           04da4            0.0179102
9            0402f            0.0134326
8            04028            0.0119401
6            04da6            0.00895509
5            0403e            0.00746258
4            04fe9            0.00597006
4            04d8f            0.00597006
4            04040            0.00597006
4            04039            0.00597006
2            04fed            0.00298503
1            0402e            0.00149252
1            0402c            0.00149252
