#ofAccesses  PageFrameNumber  Hotness
4214249      00609            52.2288
1613405      ffefff           19.9956
1019421      fff000           12.6341
540052       0060a            6.69308
321408       04225            3.98334
256929       0060b            3.18422
40288        04226            0.499305
9505         04227            0.117799
7015         04043            0.0869397
4096         00405            0.0507633
2896         04024            0.0358913
2612         00406            0.0323715
2368         052ed            0.0293476
2237         04f43            0.027724
2018         04224            0.0250099
1888         00404            0.0233987
1172         00400            0.0145251
1109         04f2e            0.0137443
1101         04f2f            0.0136451
1042         04f30            0.0129139
940          04222            0.0116498
859          04000            0.0106459
798          052eb            0.00988993
686          04f38            0.00850187
685          04223            0.00848947
639          04f44            0.00791938
637          04f37            0.00789459
635          04f32            0.0078698
634          04f3c            0.00785741
630          04f3b            0.00780784
623          04f35            0.00772108
623          04044            0.00772108
622          04f39            0.00770869
621          04f33            0.0076963
607          04f36            0.00752279
591          04f34            0.0073245
588          04f31            0.00728732
583          04f3a            0.00722535
561          04f3d            0.00695269
527          04cc9            0.00653132
512          04f4a            0.00634542
512          04f49            0.00634542
512          04f48            0.00634542
512          04f47            0.00634542
512          04f46            0.00634542
512          04f45            0.00634542
511          04f4b            0.00633302
463          04f2d            0.00573814
392          052ec            0.00485821
375          04c2b            0.00464752
349          052ea            0.00432529
329          04f2b            0.00407743
328          04f40            0.00406503
325          00608            0.00402785
323          04a25            0.00400307
302          04f41            0.0037428
291          0401c            0.00360648
269          052e9            0.00333382
269          04c25            0.00333382
260          04f42            0.00322228
258          04f3e            0.0031975
231          052e8            0.00286287
228          04cd5            0.00282569
211          04f3f            0.00261501
205          04c2a            0.00254065
180          04c9b            0.00223081
146          0401b            0.00180944
137          04c2c            0.00169789
124          04f4c            0.00153678
122          04025            0.00151199
119          04f2c            0.00147481
116          04c27            0.00143763
105          052ee            0.00130131
96           052f1            0.00118977
92           04023            0.00114019
80           04cb0            0.000991471
71           050a4            0.000879931
66           04038            0.000817964
55           0401f            0.000681637
54           050a6            0.000669243
54           050a1            0.000669243
53           052f2            0.00065685
42           04c28            0.000520523
37           0403f            0.000458556
31           04ca2            0.000384195
19           050b3            0.000235474
19           04c26            0.000235474
14           0402c            0.000173508
12           050aa            0.000148721
12           04039            0.000148721
9            052ef            0.000111541
9            04c29            0.000111541
9            0402f            0.000111541
9            04028            0.000111541
6            050ac            7.43604e-05
5            0403e            6.1967e-05
4            05095            4.95736e-05
4            04040            4.95736e-05
4            04037            4.95736e-05
4            04035            4.95736e-05
2            052f3            2.47868e-05
1            0402e            1.23934e-05
1            0402b            1.23934e-05
1            0402a            1.23934e-05
