#ofAccesses  PageFrameNumber  Hotness
1633234      00609            49.5979
903391       04227            27.4341
302358       0060a            9.18199
161991       fff000           4.91933
151788       04225            4.60949
70392        00406            2.13766
15872        04226            0.482
14151        ffefff           0.429737
7024         04024            0.213304
2366         04fe7            0.0718505
2136         04c3d            0.0648659
1732         04224            0.0525972
1105         04043            0.0335566
1104         04c28            0.0335262
1097         04c29            0.0333136
1038         04c2a            0.0315219
906          00400            0.0275133
847          04000            0.0257216
789          04fe5            0.0239603
722          04222            0.0219256
686          04c32            0.0208324
637          04c31            0.0193444
634          04c36            0.0192533
627          04c2c            0.0190407
622          04c33            0.0188888
621          04c2d            0.0188585
616          04c35            0.0187066
616          04c2f            0.0187066
607          04c30            0.0184333
602          04223            0.0182815
591          04c2e            0.0179474
588          04c2b            0.0178563
583          04c34            0.0177045
561          04c37            0.0170364
560          04c3e            0.017006
512          04c44            0.0155484
512          04c43            0.0155484
512          04c42            0.0155484
512          04c41            0.0155484
512          04c40            0.0155484
512          04c3f            0.0155484
512          00405            0.0155484
511          04c45            0.015518
454          04c27            0.013787
450          04fe6            0.0136656
349          04fe4            0.0105984
312          04a25            0.00947479
302          04c3b            0.00917111
298          04c3a            0.00904964
294          00608            0.00892817
291          0401c            0.00883707
269          04fe3            0.00816897
265          04044            0.0080475
258          04c38            0.00783492
247          04c25            0.00750088
235          04c3c            0.00713646
231          04fe2            0.00701499
211          04c39            0.00640763
137          0401b            0.00416041
125          04025            0.00379599
124          04c46            0.00376562
113          04fe8            0.00343158
108          00404            0.00327974
92           04023            0.00279385
71           04d9e            0.00215612
65           04fec            0.00197392
65           04feb            0.00197392
54           04da0            0.00163987
54           04d9b            0.00163987
37           0403f            0.00112361
36           0401f            0.00109325
19           04c26            0.000576991
18           04dad            0.000546623
12           04da4            0.000364415
10           00407            0.000303679
9            04fe9            0.000273311
9            0402f            0.000273311
8            04028            0.000242943
6            04da6            0.000182208
5            0403e            0.00015184
4            04d8f            0.000121472
4            04040            0.000121472
4            04039            0.000121472
2            04fed            6.07359e-05
1            0402e            3.03679e-05
1            0402c            3.03679e-05
