#ofAccesses  PageFrameNumber  Hotness
1485390      04231            26.3162
1176791      0422c            20.8489
833010       0422d            14.7582
621060       0422e            11.0031
581100       0422f            10.2952
570210       04230            10.1022
124268       fff000           2.20162
22288        04fe6            0.39487
22247        0060f            0.394144
17641        0060e            0.312541
16384        0422b            0.290271
16384        0422a            0.290271
16384        04229            0.290271
16384        04228            0.290271
16384        04227            0.290271
16384        04226            0.290271
13871        ffefff           0.245749
12342        04225            0.21866
7090         04024            0.125612
6821         04fe8            0.120846
6141         0040b            0.108798
4742         04fe5            0.0840127
4633         04043            0.0820815
3593         04fec            0.0636562
2366         04fe7            0.0419177
2161         04c3d            0.0382858
1781         04224            0.0315535
1105         04c28            0.019577
1098         04c29            0.019453
1040         04c2a            0.0184254
972          00400            0.0172206
847          04000            0.0150061
732          04222            0.0129686
686          04c32            0.0121537
637          04c31            0.0112855
634          04c36            0.0112324
628          04c2d            0.0111261
627          04c2c            0.0111084
622          04c33            0.0110198
616          04c35            0.0109135
616          04c2f            0.0109135
607          04c30            0.010754
602          04223            0.0106655
591          04c2e            0.0104706
588          04c2b            0.0104174
583          04c34            0.0103288
568          04c37            0.0100631
561          04c3e            0.00993908
512          04c44            0.00907096
512          04c43            0.00907096
512          04c42            0.00907096
512          04c41            0.00907096
512          04c40            0.00907096
512          04c3f            0.00907096
512          0040a            0.00907096
512          00409            0.00907096
512          00408            0.00907096
512          00407            0.00907096
512          00406            0.00907096
511          04c45            0.00905324
457          04c27            0.00809654
432          00405            0.00765362
349          04fe4            0.00618313
314          04a25            0.00556305
306          04c3b            0.00542132
306          0060d            0.00542132
298          04c3a            0.00527958
291          0401c            0.00515556
269          04fe3            0.0047658
265          04044            0.00469493
258          04c38            0.00457091
251          04c25            0.0044469
235          04c3c            0.00416343
231          04fe2            0.00409256
216          04c39            0.00382681
137          0401b            0.00242719
124          04c46            0.00219687
119          04025            0.00210829
92           04023            0.00162994
84           0040c            0.0014882
69           04d9e            0.00122245
65           04feb            0.00115159
54           04da0            0.000956703
37           0403f            0.000655518
36           0401f            0.000637802
33           04d9b            0.000584652
22           04dad            0.000389768
19           04c26            0.000336618
12           04da4            0.000212601
9            04fe9            0.00015945
9            0402f            0.00015945
8            04028            0.000141734
6            04da6            0.0001063
5            0403e            8.85836e-05
4            04d8f            7.08669e-05
4            04040            7.08669e-05
4            04039            7.08669e-05
2            04fed            3.54334e-05
1            0402e            1.77167e-05
1            0402c            1.77167e-05
