#ofAccesses  PageFrameNumber  Hotness
3947621      04226            43.6812
2514862      04227            27.8274
2213454      04225            24.4923
164293       0060a            1.81793
100371       00609            1.11062
40167        fff000           0.444455
14455        ffefff           0.159947
7024         04024            0.0777219
2380         04fe7            0.0263351
2136         04c3d            0.0236352
1732         04224            0.0191649
1104         04c28            0.012216
1104         04043            0.012216
1097         04c29            0.0121385
1038         04c2a            0.0114857
906          00400            0.0100251
847          04000            0.00937221
793          04fe5            0.00877469
741          00406            0.0081993
722          04222            0.00798906
686          04c32            0.00759072
637          04c31            0.00704852
634          04c36            0.00701533
630          0422b            0.00697107
627          04c2c            0.00693787
622          04c33            0.00688254
621          04c2d            0.00687148
616          04c35            0.00681615
616          04c2f            0.00681615
607          04c30            0.00671657
602          04223            0.00666124
591          04c2e            0.00653952
588          04c2b            0.00650633
583          04c34            0.006451
561          04c37            0.00620757
560          04c3e            0.0061965
512          04c44            0.00566537
512          04c43            0.00566537
512          04c42            0.00566537
512          04c41            0.00566537
512          04c40            0.00566537
512          04c3f            0.00566537
512          00405            0.00566537
511          04c45            0.00565431
476          00404            0.00526703
454          04c27            0.00502359
412          04fe6            0.00455886
350          0422d            0.00387281
349          04fe4            0.00386175
312          04a25            0.00345234
302          04c3b            0.00334169
298          04c3a            0.00329742
294          00608            0.00325316
291          0401c            0.00321997
280          0422c            0.00309825
269          04fe3            0.00297653
265          04044            0.00293227
258          04c38            0.00285482
247          04c25            0.0027331
235          04c3c            0.00260032
231          04fe2            0.00255606
211          04c39            0.00233475
137          0401b            0.00151593
126          04025            0.00139421
124          04c46            0.00137208
110          04fe8            0.00121717
92           04023            0.001018
85           04d9e            0.000940541
69           04feb            0.000763498
61           04fec            0.000674976
54           04da0            0.00059752
54           04d9b            0.00059752
37           0403f            0.000409412
36           0401f            0.000398347
19           04dad            0.000210239
19           04c26            0.000210239
12           04da4            0.000132782
10           00407            0.000110652
9            04fe9            9.95867e-05
9            0402f            9.95867e-05
8            04028            8.85215e-05
6            04da6            6.63911e-05
5            0403e            5.53259e-05
4            04d8f            4.42607e-05
4            04040            4.42607e-05
4            04039            4.42607e-05
2            04fed            2.21304e-05
1            0402e            1.10652e-05
1            0402c            1.10652e-05
