#ofAccesses  PageFrameNumber  Hotness
2603359      0060b            53.7814
1403048      04225            28.9848
714577       0060c            14.7621
48279        fff000           0.99737
13512        ffefff           0.279137
7024         04024            0.145105
4096         04228            0.084617
4096         04227            0.084617
4096         04226            0.084617
3796         04229            0.0784195
2366         04fe7            0.0488779
2136         04c3d            0.0441265
1732         04224            0.0357804
1104         04c28            0.0228069
1097         04c29            0.0226623
1097         04043            0.0226623
1038         04c2a            0.0214435
906          00400            0.0187166
847          04000            0.0174977
777          04fe5            0.0160516
722          04222            0.0149154
686          04c32            0.0141717
637          04c31            0.0131594
634          04c36            0.0130975
627          04c2c            0.0129529
622          04c33            0.0128496
621          04c2d            0.0128289
616          04c35            0.0127256
616          04c2f            0.0127256
607          04c30            0.0125397
602          04223            0.0124364
591          04c2e            0.0122091
588          04c2b            0.0121472
583          04c34            0.0120439
561          04c37            0.0115894
560          04c3e            0.0115687
512          04c44            0.0105771
512          04c43            0.0105771
512          04c42            0.0105771
512          04c41            0.0105771
512          04c40            0.0105771
512          04c3f            0.0105771
512          00407            0.0105771
512          00406            0.0105771
512          00405            0.0105771
511          04c45            0.0105565
504          00408            0.0104119
454          04c27            0.00937894
390          04fe6            0.0080568
380          00404            0.00785021
349          04fe4            0.0072098
324          00409            0.00669334
312          04a25            0.00644544
302          04c3b            0.00623885
298          04c3a            0.00615622
294          0060a            0.00607359
291          0401c            0.00601161
269          04fe3            0.00555712
265          04044            0.00547449
258          04c38            0.00532988
247          04c25            0.00510264
235          04c3c            0.00485474
231          04fe2            0.0047721
211          04c39            0.00435893
137          0401b            0.00283021
124          04c46            0.00256165
119          04025            0.00245836
101          04fe8            0.0020865
92           04023            0.00190058
72           04d9e            0.00148741
65           04feb            0.0013428
54           04da0            0.00111556
53           04fec            0.0010949
53           04d9b            0.0010949
37           0403f            0.000764363
36           0401f            0.000743704
19           04c26            0.000392511
17           04dad            0.000351194
12           04da4            0.000247901
9            04fe9            0.000185926
9            0402f            0.000185926
8            04028            0.000165268
6            04da6            0.000123951
5            0403e            0.000103292
4            04d8f            8.26338e-05
4            04040            8.26338e-05
4            04039            8.26338e-05
2            04fed            4.13169e-05
1            0402e            2.06585e-05
1            0402c            2.06585e-05
