#ofAccesses  PageFrameNumber  Hotness
3129934      00607            41.1623
3005646      00608            39.5278
728768       04225            9.58415
613953       fff000           8.0742
72241        04226            0.950053
13492        ffefff           0.177436
7024         04024            0.0923738
2366         04fe7            0.0311157
2136         04c3d            0.0280909
1732         04224            0.0227778
1104         04c28            0.0145189
1097         04c29            0.0144268
1097         04043            0.0144268
1038         04c2a            0.0136509
906          00400            0.011915
847          04000            0.011139
777          04fe5            0.0102185
722          04222            0.00949514
694          00404            0.00912691
686          04c32            0.0090217
637          04c31            0.00837729
634          04c36            0.00833784
627          04c2c            0.00824578
622          04c33            0.00818003
621          04c2d            0.00816687
616          04c35            0.00810112
616          04c2f            0.00810112
607          04c30            0.00798276
602          04223            0.007917
591          04c2e            0.00777234
588          04c2b            0.00773289
583          04c34            0.00766713
561          04c37            0.0073778
560          04c3e            0.00736465
512          04c44            0.0067334
512          04c43            0.0067334
512          04c42            0.0067334
512          04c41            0.0067334
512          04c40            0.0067334
512          04c3f            0.0067334
511          04c45            0.00672025
454          04c27            0.00597063
390          04fe6            0.00512896
349          04fe4            0.00458976
312          04a25            0.00410316
302          04c3b            0.00397165
298          04c3a            0.00391905
294          00606            0.00386644
291          0401c            0.00382699
269          04fe3            0.00353766
265          04044            0.00348506
258          04c38            0.003393
247          04c25            0.00324834
235          04c3c            0.00309052
231          04fe2            0.00303792
211          04c39            0.0027749
137          0401b            0.00180171
124          04c46            0.00163074
120          00403            0.00157814
119          04025            0.00156499
101          04fe8            0.00132827
92           04023            0.00120991
72           04d9e            0.000946884
65           04feb            0.000854826
54           04da0            0.000710163
53           04fec            0.000697012
53           04d9b            0.000697012
37           0403f            0.000486593
36           0401f            0.000473442
19           04c26            0.000249872
17           04dad            0.00022357
12           04da4            0.000157814
10           00405            0.000131512
9            04fe9            0.000118361
9            0402f            0.000118361
8            04028            0.000105209
6            04da6            7.8907e-05
5            0403e            6.57558e-05
4            04d8f            5.26047e-05
4            04040            5.26047e-05
4            04039            5.26047e-05
2            04fed            2.63023e-05
1            0402e            1.31512e-05
1            0402c            1.31512e-05
