#ofAccesses  PageFrameNumber  Hotness
1844351      00409            65.0016
525642       0060d            18.5255
99296        04225            3.49955
90372        0060c            3.18504
72774        fff000           2.56482
60324        0040a            2.12604
31944        00406            1.12582
16080        00405            0.566717
15908        00407            0.560655
15520        00408            0.546981
13453        ffefff           0.474132
11181        04226            0.394059
7024         04024            0.247551
2366         04fe7            0.0833864
2136         04c3d            0.0752803
1732         04224            0.0610419
1500         00404            0.0528654
1104         04c28            0.0389089
1098         04043            0.0386975
1097         04c29            0.0386622
1038         04c2a            0.0365829
906          00400            0.0319307
847          04000            0.0298513
779          04fe5            0.0274548
722          04222            0.0254459
686          04c32            0.0241771
637          04c31            0.0224502
634          04c36            0.0223444
627          04c2c            0.0220977
622          04c33            0.0219215
621          04c2d            0.0218863
616          04c35            0.0217101
616          04c2f            0.0217101
607          04c30            0.0213929
602          04223            0.0212167
591          04c2e            0.020829
588          04c2b            0.0207232
583          04c34            0.020547
561          04c37            0.0197717
560          04c3e            0.0197364
512          04c44            0.0180447
512          04c43            0.0180447
512          04c42            0.0180447
512          04c41            0.0180447
512          04c40            0.0180447
512          04c3f            0.0180447
511          04c45            0.0180095
454          04c27            0.0160006
399          04fe6            0.0140622
349          04fe4            0.0123
312          04a25            0.010996
302          04c3b            0.0106436
298          04c3a            0.0105026
294          0060b            0.0103616
291          0401c            0.0102559
269          04fe3            0.00948053
265          04044            0.00933956
258          04c38            0.00909285
247          04c25            0.00870517
235          04c3c            0.00828225
231          04fe2            0.00814127
211          04c39            0.0074364
137          0401b            0.00482837
124          04c46            0.00437021
121          04025            0.00426448
103          04fe8            0.00363009
92           04023            0.00324241
71           04d9e            0.0025023
65           04feb            0.00229083
55           04fec            0.0019384
54           04da0            0.00190315
54           04d9b            0.00190315
37           0403f            0.00130401
36           0401f            0.00126877
19           04c26            0.000669629
18           04dad            0.000634385
12           04da4            0.000422923
9            04fe9            0.000317192
9            0402f            0.000317192
8            04028            0.000281949
6            04da6            0.000211462
5            0403e            0.000176218
4            04d8f            0.000140974
4            04040            0.000140974
4            04039            0.000140974
2            04fed            7.04872e-05
1            0402e            3.52436e-05
1            0402c            3.52436e-05
