#ofAccesses  PageFrameNumber  Hotness
1656942      fff000           20.5548
1359114      00406            16.8602
1223577      00621            15.1788
1159258      0041a            14.3809
724036       00405            8.98186
596386       00620            7.39832
379700       0040b            4.71028
347090       04225            4.30574
245148       00419            3.04113
76716        04227            0.951682
76418        04226            0.947985
61617        04228            0.764375
49800        00415            0.617782
49800        00410            0.617782
14566        ffefff           0.180695
7024         04024            0.0871346
2380         04fe7            0.0295245
2136         04c3d            0.0264976
1732         04224            0.0214859
1107         04043            0.0137326
1104         04c28            0.0136954
1097         04c29            0.0136086
1038         04c2a            0.0128767
906          00400            0.0112392
847          04000            0.0105073
802          04fe5            0.00994902
722          04222            0.0089566
686          04c32            0.00851001
678          0041d            0.00841077
637          04c31            0.00790215
634          04c36            0.00786494
627          04c2c            0.0077781
622          04c33            0.00771607
621          04c2d            0.00770367
616          04c35            0.00764164
616          04c2f            0.00764164
607          04c30            0.00752999
602          04223            0.00746797
591          04c2e            0.00733151
588          04c2b            0.00729429
583          04c34            0.00723227
561          04c37            0.00695935
560          04c3e            0.00694695
512          04c44            0.00635149
512          04c43            0.00635149
512          04c42            0.00635149
512          04c41            0.00635149
512          04c40            0.00635149
512          04c3f            0.00635149
512          0041c            0.00635149
512          0041b            0.00635149
511          04c45            0.00633909
455          04fe6            0.00564439
454          04c27            0.00563199
349          04fe4            0.00432944
312          04a25            0.00387044
302          04c3b            0.00374639
298          04c3a            0.00369677
294          0061f            0.00364715
291          0401c            0.00360993
269          04fe3            0.00333702
265          04044            0.00328739
258          04c38            0.00320056
247          04c25            0.0030641
235          04c3c            0.00291524
231          04fe2            0.00286562
211          04c39            0.00261751
137          0401b            0.00169952
129          04025            0.00160028
124          04c46            0.00153825
120          04fe8            0.00148863
92           04023            0.00114128
84           04d9e            0.00104204
71           04fec            0.000880774
69           04feb            0.000855963
58           04d9b            0.000719505
54           04da0            0.000669884
37           0403f            0.000458995
36           0401f            0.000446589
19           04c26            0.0002357
18           04dad            0.000223295
12           04da4            0.000148863
12           0041e            0.000148863
9            04fe9            0.000111647
9            0402f            0.000111647
8            04028            9.92421e-05
6            04da6            7.44316e-05
5            0403e            6.20263e-05
4            04d8f            4.96211e-05
4            04040            4.96211e-05
4            04039            4.96211e-05
2            04fed            2.48105e-05
1            0402e            1.24053e-05
1            0402c            1.24053e-05
